allocated CHIP memory @0x97758, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x99f68, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x9c778, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0xa1d18, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0xa4518, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x96c58, size 30 (D:\prg\_git\ACE\ace\managers\viewport\camera.c:7)
allocated CHIP memory @0x96c88, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x96cb0, size 44 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x96cf0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x20f90, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x96f00, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x214a0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x96f38, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x21600, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x96f70, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x216b0, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97050, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x21810, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x970e0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x21bb8, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x971b8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x21c60, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97210, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x22c18, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x97280, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x22c78, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x972f0, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x22d08, size 4 (D:\prg\_git\ACE\ace\managers\copper.c:258)
